[epoch 1] train_loss: 1.276  train_acc: 0.464  val_accuracy: 0.604
[epoch 2] train_loss: 1.102  train_acc: 0.572  val_accuracy: 0.591
[epoch 3] train_loss: 1.005  train_acc: 0.618  val_accuracy: 0.709
[epoch 4] train_loss: 0.916  train_acc: 0.652  val_accuracy: 0.725
[epoch 5] train_loss: 0.882  train_acc: 0.658  val_accuracy: 0.758
[epoch 6] train_loss: 0.835  train_acc: 0.682  val_accuracy: 0.659
[epoch 7] train_loss: 0.775  train_acc: 0.701  val_accuracy: 0.692
[epoch 8] train_loss: 0.748  train_acc: 0.719  val_accuracy: 0.772
[epoch 9] train_loss: 0.739  train_acc: 0.714  val_accuracy: 0.810
[epoch 10] train_loss: 0.674  train_acc: 0.747  val_accuracy: 0.802
[epoch 11] train_loss: 0.645  train_acc: 0.764  val_accuracy: 0.808
[epoch 12] train_loss: 0.618  train_acc: 0.781  val_accuracy: 0.819
[epoch 13] train_loss: 0.577  train_acc: 0.790  val_accuracy: 0.821
[epoch 14] train_loss: 0.543  train_acc: 0.790  val_accuracy: 0.832
[epoch 15] train_loss: 0.519  train_acc: 0.806  val_accuracy: 0.835
[epoch 16] train_loss: 0.473  train_acc: 0.831  val_accuracy: 0.846
[epoch 17] train_loss: 0.478  train_acc: 0.826  val_accuracy: 0.854
[epoch 18] train_loss: 0.450  train_acc: 0.840  val_accuracy: 0.871
[epoch 19] train_loss: 0.421  train_acc: 0.847  val_accuracy: 0.868
[epoch 20] train_loss: 0.423  train_acc: 0.845  val_accuracy: 0.868
[epoch 1] train_loss: 1.413  train_acc: 0.430  val_accuracy: 0.316
[epoch 2] train_loss: 1.308  train_acc: 0.472  val_accuracy: 0.431
[epoch 3] train_loss: 1.164  train_acc: 0.536  val_accuracy: 0.588
[epoch 4] train_loss: 1.106  train_acc: 0.557  val_accuracy: 0.637
[epoch 5] train_loss: 1.078  train_acc: 0.575  val_accuracy: 0.659
[epoch 6] train_loss: 1.010  train_acc: 0.604  val_accuracy: 0.626
[epoch 7] train_loss: 0.995  train_acc: 0.611  val_accuracy: 0.690
[epoch 8] train_loss: 0.970  train_acc: 0.629  val_accuracy: 0.687
[epoch 9] train_loss: 0.950  train_acc: 0.636  val_accuracy: 0.654
[epoch 10] train_loss: 0.919  train_acc: 0.640  val_accuracy: 0.632
